"state","city","address1","address2","name","phone","zip"
"IL","Westmont","6121 South Cass Avenue","","Priya Foods","6309600960","60559"
"IL","Downers Grove","2093 63rd Street","","Bombay Bazar","6304341231","60516"
"IL","Woodridge","1999 W. 75th Street","Suite G","Soumya Grocery","6306159240","60517"
"IL","Lombard","42 W. Rossevelt Rd","","Kwick Pantry","6302689574","60148"
"IL","Naperville","1904 Brookdale Road","#128","Chutney's Grocery","6303558229","60563"
"IL","Naperville","1292 Rickert Drive","Suite 140","International Video & Grocery","7734309091","60540"
"IL","Woodridge","2437 W. 75th Street","","Big Suchir Woodridge","6309855552","60517"
"IL","Westmont","669 N Cass Ave","","Big Suchir","6309200115","60559"
"IL","Woodridge","7410 North Janes Avenue","","Kwick Pantry","6309604266","60517-2314"
"NJ","Union","1090 Springfield Rd.","","Deep Foods","8479750287","07083"
"IL","Naperville","1570 W Ogden Ave","Ste 104","Balaji Grocery","6304203100","60540"
"AL","Birmingham","3137  Lorna Rd", nil, "India Heritage","2058228224","35216"
"AL","Birmingham","2005 Valleydale Rd", nil, "India Spices","2059872299","35244"
"AL","Birmingham","3659 Lorna Road, Suite 155", nil, "Spice World","2054023957","35216"
"AL","Montgomery","3462 Eastdale Cir", nil, "Indian Spices","3342776633","36117"
"AK","Anchorage","W Northern Lights Blvd Suite A", nil, "MJ Heena Enterprise","9075614847","99503"
"AK","Anchorage","555 W. Nothern Lights Blvd., Suite 100", nil, "New Central Market","9072771170","99503"
"AK","Anchorage","515 W Fireweed Ln", nil, "Suda Asian Market","9072583466","99053"
"AK","Eagle River","Eagle River Shopping Ctr", nil, "Eagle River East India Trading","9076943278","99577"
"AK","Fairbanks","1616, South Cushman St, Suite 1A", nil, "Asian Food Market","9074557814","99701"
"AK","Fairbanks","126, N Turner St", nil, "India Rose","9074521155","99701"
"AZ","Mesa","2110 W Southern Suite G", nil, "Asia Bazaar","4804649797","85202"
"AZ","Mesa","540 West Broadway Road", nil, "India Spice Land","4806497380","85210"
"AZ","Phoenix","334 East Camelback Rd", nil, "Bombay Bazaar","6022658781","85012"
"AZ","Phoenix","5054 E Mcdowell Road", nil, "India International Foods","6022736777","85008"
"AZ","Phoenix","4402 E Southern Avenue", nil, "Reddy's Corner","6022372663","85040"
"AZ","Tempe","1046  E Lemon St", nil, "I-Mart","4807314794","85281"
"AZ","Tempe","933 East University Drive", nil, "India Bazaar","4807844442","85281"
"AZ","Tempe","53 East Broadway Road", nil, "India Snacks & Spices","6029299447","85282"
"AZ","Tempe","69 East Broadway Road", nil, "India Snacks & Spices","4809299447","85282"
"AZ","Tempe","1872 E Apache Blvd", nil, "Spice Coast International","6028297170","85281"
"AZ","Tucson","863 E Grant Road", nil, "India Food & Gifts","5206242474","85719"
"AZ","Tucson","2569 N 1st Avenue", nil, "Taj Mahal Gifts","5206206441","85719"
"AR","Little Rock","9100 Rodney Parham Rd #108", nil, "Indian Grocery Store","5012219977","72205"
"CA","Alhambra","23 East Main St", nil, "Kajala Imports","6265762455","91801"
"CA","Alhambra","1300 E. Main St. Suit 101", nil, "Punjab Grocery Store","6265760749","91801"
"CA","Anaheim","2703 W Lincoln Ave", nil, "India Grocery","7147618301","92801"
"CA","Anaheim","2771 West Lincoln Ave", nil, "Patel Store","7148263960","92801"
"CA","Anaheim","3414 W  Ball rd. #G", nil, "Raja Bazar","7142291953","92804"
"CA","Artesia","18411 Pioneer Blvd","","Ambala Cash & Carry","5629241441","90701"
"CA","Artesia","18181 Pioneer Boulevard", nil, "India Sweets and Spices","5628093191","90701"
"CA","Artesia","11814 E.186th Street", nil, "Surati Farsan Sweets","5628602310","90701"
"CA","Bakersfield","3500 Ming Avenue", nil, "India Sweets & Spices","6613971135","93309"
"CA","Berkeley","1964 San Pablo Avenue", nil, "Indus Food Center","5105493663","94702"
"CA","Berkeley","990 University Ave", nil, "Milan Bazaar","5108439600","94710"
"CA","Berkeley","2011 University Ave", nil, "Shrimati's Ltd","5105486220","94710"
"CA","Campbell","2006 Winchester Blvd # A", nil, "New India Imports","4088712630","95008"
"CA","Ceres","3230 Mitchell Road", nil, "India Imports","2095383395","95307"
"CA","Citrus Heights","6424 Tupelo Drive", nil, "India Import Plus","9167257633","95621"
"CA","Concord","1859  Adobe St","","Bombay Trading Company","9258259043","94520"
"CA","Corona","3848 N Mckinley St, Ste K","","Bombay Bazar","9512723820","92879"
"CA","Corona","210 West Grand Boulevard", nil, "India Bazar","9092798292","92882"
"CA","Corona","131 North McKinley Street", nil, "Indo Pak Spices","9093729885","92879"
"CA","Corona","944 W 6th St", nil, "Singh Produce Cash 'N Carry","9516597100","92882"
"CA","Culver City","9409 Venice Boulevard", nil, "India Sweets and Spices","3108375286","90232"
"CA","Downey","12001 Woodruff Ave", nil, "Naaz International","5628039876","90241"
"CA","Dublin","6715 H Dublin Blvd", nil, "India Spice House and Boutique","9255515332","94568"
"CA","Dublin","6604 Dublin Blvd", nil, "Milan Bazzar","9258296582","94568"
"CA","El Sobrante","3380 B San Pablo Dam Road", nil, "New Ratna Mahal","5107997595","94803"
"CA","Emeryville","4330 San Pablo Ave", nil, "Janta International","5106555974","94608"
"CA","Emeryville","4336 San Pablo Ave", nil, "Punjab Bazar","5106549778","94608"
"CA","Fair Oaks","8121 Madison Ave", nil, "Desi Bazaar","9168630390","95628"
"CA","Folsom","422 East Bidwell street", nil, "India Bazar","9169835599","95630"
"CA","Foster City","1058 D Shell Blvd", nil, "Nilgiris","6502120608","94404"
"CA","Fremont","37012 Towers Way", nil, "Damavand Market","5107932606","94536"
"CA","Fremont","5113 Mowry Ave", nil, "Dana Bazzar","5107420555","94538"
"CA","Fremont","3129 Walnut Avenue", nil, "Deep Bazaar","5107927125","94536"
"CA","Fremont","34165 Fremont Boulevard","","Dulhan Grocery","5107941391","94555"
"CA","Fremont","40645 Fremont Blvd", nil, "Fremont Bazar","5104902979","94536"
"CA","Fremont","39106 State Street", nil, "Fremont Liquor & Indian Grocery","5104902979","94538"
"CA","Fremont","5146 Mowry Ave", nil, "Guru Place","5107917410","94538"
"CA","Fremont","37070 Fremont Blvd Ste. #114", nil, "Khyber International","5107959549","94536"
"CA","Fremont","41049 Fremont Blvd", nil, "Madina Halal Market","5104450786","94538"
"CA","Fremont","32760 Alvarado Blvd", nil, "Madina Market","5104411444","94555"
"CA","Fremont","37259 Fremont Blvd", nil, "Maiwand Market","5107963215","94536"
"CA","Fremont","4930 Paseo Padre Pkwy", nil, "Mira International","5107976472","94555"
"CA","Fremont","46596 Mission Blvd", nil, "Nagina","5106567280","94539"
"CA","Fremont","3325 Walnut Ave", nil, "New India Mahal","5107937551","94538"
"CA","Fremont","47872 Warmspring Blvd", nil, "Nilgiris","5109799996","94538"
"CA","Fremont","37436 Fremont Blvd", nil, "Pamir Food Mart","5107907015","94536"
"CA","Fremont","36464 Fremont Blvd", nil, "Siddhartha International","5107928500","94536"
"CA","Fremont","5970 Mowry Ave. Suite K", nil, "Tajmahal Imports","5107941000","94538"
"CA","Fresno","4935 East Kings CAnyon Road", nil, "India Grocery & Spices","5594569491","93727"
"CA","Fullerton","717 South Harbor Boulevard", nil, "India Super Bazaar","7148701265","92832"
"CA","Gardena","1627 W. 135th St", nil, "Shah Distributors","3105327809","90249"
"CA","Gilroy","8833 Monterey Hwy", nil, "Singh Food & Liquor","4088472570","95020"
"CA","Hayward","46, Tenneson Road", nil, "Gifto Store","5107329620","94544"
"CA","Hayward","24479 Mission Blvd", nil, "India Fashion & Grocery","5108890963","94544"
"CA","Hayward","26643 Mission Blvd", nil, "Saudagar","5108850430","94544"
"CA","Hayward","27937 Manon Avenue", nil, "Sonam Indian Store","5107826480","94544"
"CA","Inglewood","3838 W 102nd St", nil, "India Bazar","3104753000","90303"
"CA","Loma Linda","25655 Redlands Blvd", nil, "Sonali Market","9097998400","92354"
"CA","Los Angeles","950 S Santee St  Ste.#4", nil, "India Import","2136292481","90015"
"CA","Los Angeles","5994 W Pico Blvd", nil, "India Spices & Grocery","3239314871","90035"
"CA","Los Angeles","1373 w 29th st. #B", nil, "JH Bazaar","3237314311","90007"
"CA","Los Angeles","1245 S Fairfax Ave", nil, "New India Sweets and Spices","3239366736","90019"
"CA","Los Angeles","1933 S Broadway Ste #371", nil, "Raj Imports","2137483510","90007"
